P_NAME;P_PERIOD;S_TEMPERATURE;P_DISTANCE;P_PERIASTRON;P_APASTRON;P_DISTANCE_EFF;P_FLUX;P_TEMP_EQUIL;P_TYPE;S_RADIUS_EST;S_TYPE_TEMP;S_LUMINOSITY;P_HABZONE_OPT;P_HABZONE_CON;P_TYPE_TEMP;P_HABITABLE;P_RADIUS_EST;P_MASS_EST;P_SEMI_MAJOR_AXIS_EST
Kepler-293 c;54155743;58040000;28600000;28600000;28600000;28600001;11455358;46870229;Neptunian;96000000;G;93700245;0;0;Hot;0;38338200;14059624;28600000
Kepler-293 b;19254196;58040000;14400000;14400000;14400000;14400000;45187232;66053958;Neptunian;96000000;G;93700245;0;0;Hot;0;30715400;96497879;14400000
V1298 Tau b;24138610;49700000;16975809;14980560;18759440;16896564;33171702;60997203;Jovian;13100000;K;93811654;0;0;Hot;0;10212310;74194458;16870000
Kepler-1294 b;11568623;57760000;46299441;46299441;46299441;46299442;43771291;36850404;Neptunian;97000000;G;93829813;0;0;Hot;0;31948500;10316689;46299441
Kepler-35 b;13145800;56060000;60400226;57812426;62881574;60360323;25801650;32278475;Jovian;10300000;G;93880516;0;0;Hot;0;81608800;40364156;60347000
Kepler-154 c;62303276;56900000;30300000;30300000;30300000;30300001;10229454;45562550;Neptunian;10000000;G;93915594;0;0;Hot;0;29482300;90013132;30300000
Kepler-154 b;33040532;56900000;19800000;19800000;19800000;19800000;23955615;56363343;Superterran;10000000;G;93915594;0;0;Hot;0;22644200;57508411;19800000
HD 180902 b;51090000;49610000;14080143;12502000;15498000;14020112;48194403;37666670;Jovian;41600000;K;93918731;0;0;Hot;0;13454179;53554018;14000000
K2-170 c;12400047;57480000;10340674;10340674;10340674;10340675;87843598;77996019;Superterran;98000000;G;93930760;0;0;Hot;0;18048100;39125102;10340674
K2-170 b;75765440;57480000;74458463;74458463;74458463;74458465;16942586;91915729;Terran;98000000;G;93930760;0;0;Hot;0;14236700;26154425;74458463
Kepler-1388 e;37632708;40980000;18836494;18836494;18836494;18836494;26499397;32505280;Superterran;61000000;K;94023439;0;0;Hot;0;24549900;65964694;18836494
Kepler-1388 d;20956816;40980000;12749895;12749895;12749895;12749895;57839284;39509418;Neptunian;61000000;K;94023439;0;0;Hot;0;28585500;85413990;12749895
Kepler-1388 b;12285460;40980000;89306698;89306698;89306698;89306700;11788758;47207601;Neptunian;61000000;K;94023439;0;0;Hot;0;25895100;72218056;89306698
Kepler-1388 c;55360815;40980000;52491790;52491790;52491790;52491792;34123484;61575543;Superterran;61000000;K;94023439;0;0;Hot;0;22644200;57508411;52491790
Kepler-649 b;29907227;58710000;18661687;18661687;18661687;18661688;27007902;58078799;Superterran;94000000;G;94057336;0;0;Hot;0;22644200;57508411;18661687
Kepler-677 b;65753168;57230000;68673209;68673209;68673209;68673211;19974657;95777775;Neptunian;99000000;G;94200676;0;0;Hot;0;53808000;24998531;68673209
Kepler-1286 b;11254029;57530000;98261092;98261092;98261092;98261095;97623667;80081775;Superterran;98000000;G;94258016;0;0;Hot;0;21523200;52758784;98261092
Kepler-1390 b;64802167;57530000;67552994;67552994;67552994;67552996;20655185;96583332;Terran;98000000;G;94258016;0;0;Hot;0;11770500;17431784;67552994
Kepler-162 c;19446355;58160000;13700000;13700000;13700000;13700000;50337028;67860460;Neptunian;96000000;G;94477568;0;0;Hot;0;30267000;94118347;13700000
Kepler-162 b;69197980;58160000;69000000;69000000;69000000;69000002;19844060;95620837;Terran;96000000;G;94477568;0;0;Hot;0;12555200;21128564;69000000
Kepler-205 c;20306546;43210000;12200000;12200000;12200000;12200000;63479198;40439220;Superterran;55000000;M;94482438;0;0;Hot;0;16366600;33139434;12200000
